Video,YT Likes,Comments,Views,time_dec
https://youtu.be/qGjAWJ2zWWI,14620084,1369245,425344182,4.48
https://youtu.be/BJD0arHF_5c,53467,2741,1175513,3.1
https://youtu.be/aE6curPGQRY,43185,3508,2654802,3.75
https://youtu.be/29ycT6fA-Rs,659373,32105,17569673,3.35
https://youtu.be/KTAZ7I8RylM,26068,2113,264112,3.42
https://youtu.be/rQpWdm5zHOU,385747,18397,8544608,3.57
https://youtu.be/TgOu00Mf3kI,5853526,294306,172682644,3.7
https://youtu.be/Raj-AuQgCTg,723201,36810,11634111,3.77
https://youtu.be/ObzvA8tx9aA,476836,8705,16361928,3.93
https://youtu.be/Qk0fkeMAUz0,NaN,NaN,NaN,
https://youtu.be/Ctlp1NNqXq0,28701,893,690430,3.48
https://youtu.be/YPFIh0dfYfw,904216,28095,26564613,3.83
https://youtu.be/eto1czNzbwY,NaN,NaN,NaN,
https://youtu.be/BYQ5MKtSzd0,13117,1130,189825,3.97
https://youtu.be/aiaLSkDDBec,NaN,NaN,NaN,
https://youtu.be/V8FXWf0s7K0,1086584,51290,23742567,3.92
https://youtu.be/aiaLSkDDBec,NaN,NaN,NaN,
https://youtu.be/EFjCTvNZU1s,18503,1189,193128,2.33
https://youtu.be/IENMc46TMtU,4436,540,159227,4.15
https://youtu.be/ghpn99s8I-U,491364,9793,16336267,3.22
https://youtu.be/-sKqPjhSiq0,332921,17344,6469658,2.95
https://youtu.be/aTx5trrmYCQ,68226,3506,2966029,3.72
https://youtu.be/Ygrv55VRRas,1236642,408054,14113872,3.92
https://youtu.be/GmqfRBaJm6I,361461,23910,8122553,3.62
https://youtu.be/5YsdHqm9udM,10355,556,212315,3.82
https://youtu.be/pbAUixR61Vs,NaN,NaN,NaN,
https://youtu.be/zIvlwzMuP-4,15482,594,159251,3.62
https://youtu.be/UbIz99fsUXY,8719,588,153795,3.15
https://youtu.be/Md9RRt2r3TU,159664,7843,2331234,4.13
https://youtu.be/XYNfqKJr538,30087,2117,680011,4.7
https://youtu.be/LGt-Dmnjk-s,139886,5604,3258474,2.25
https://youtu.be/OZw8s1wVUtU,NaN,NaN,NaN,
https://youtu.be/WDrcvug1xZs,NaN,NaN,NaN,
https://youtu.be/fN-YPbbGUoE,289250,5129,7251424,2.98
https://youtu.be/XFdPF5gyjTc,10409,478,126632,6.23
https://youtu.be/he_XQNuWhis,49478,1818,1097809,4.23
https://youtu.be/YimQ4mB0uiM,9468,445,177660,3.87
https://youtu.be/JDmZ6oguzzM,66467,3094,1278801,4.1
https://youtu.be/f5pTBgvXJeA,15746,920,164379,3.38
https://youtu.be/bho0m505qVA,334341,12905,6529953,3.8
https://youtu.be/UdyjeUwPz_E,NaN,5641,11909770,4.13
https://youtu.be/C9V7Cd0SmKc,25283,2393,526870,3.63
https://youtu.be/AkE_L1Lj4Lc,211677,7880,3312852,3.37
https://youtu.be/tBWh4IAHgWQ,71611,3138,810821,3.83
https://youtu.be/hrO-BgLjJ-Q,51603,2445,1690153,4.53
https://youtu.be/tJNS1W0YmdE,475792,49817,10323363,3.02
https://youtu.be/t_aAAx2gtvY,68640,1787,1041200,3.53
https://youtu.be/u3ZYUsd1vRU,60730,1922,1004592,3.58
https://youtu.be/6Fibpj267H0,262294,13057,3595257,3.3
https://youtu.be/MyAoZfwWdgk,24037,1367,233935,3.68
https://youtu.be/IePbjLAUvf0,701323,38783,30453821,4.68
https://youtu.be/aSGisoCdLPc,263273,17536,6435808,4.75
https://youtu.be/D1PvIWdJ8xo,2264636,47812,161541439,3.7
https://youtu.be/Kr8-EFdl6gg,634458,23289,7272534,3.65
https://youtu.be/8xqSz6_RJeU,1280220,39212,26874133,3.3
https://youtu.be/8xqSz6_RJeU,1280220,39212,26874133,3.3
https://youtu.be/vzFF-boVVVk,17768,2838,297436,5.47
https://youtu.be/3NBcWFRvTI4,1017,138,16364,3.43
https://youtu.be/uy4-gePx5xU,575534,21215,16641643,3.6
https://youtu.be/FEDXPMy0GM8,63014,1982,1248966,3.8
https://youtu.be/6M-GNLCPf2I,48549,2243,783779,4.53
https://youtu.be/3JrDhzPoLkU,159429,4256,7209561,3.53
https://youtu.be/eP4ga_fNm-E,853348,35568,40672252,3.77
https://youtu.be/RodzwqdC0RA,24839,1845,218481,3.72
https://youtu.be/hYJ37-p57Rw,21257,2751,739989,4.58
https://youtu.be/2OjCMR8DGLg,903428,30158,26273503,4.33
https://youtu.be/Jaz-DBqBeKQ,11785,839,106925,3.88
https://youtu.be/o5S3sPpkd8w,74930,6890,1815974,3.05
https://youtu.be/G2TQIyjyrKk,78684,6959,1670506,5.17
https://youtu.be/Rp8sVAr6yGY,195090,10336,3648224,2.78
https://youtu.be/Fr1GTfOqFrs,21630,2048,240995,3.13
https://youtu.be/7Z_aSAiP3vQ,21922,685,709695,2.52
https://youtu.be/VffUe5aWCAc,7860,295,142474,3.9
https://youtu.be/AO1OqWwKj1A,658231,112923,10862268,3.75
https://youtu.be/1QMv1Qx5hRw,43755,1456,1161203,4.3
https://youtu.be/9nkZ0F9QdVI,91804,4610,6353730,4.32
https://youtu.be/6rzemizJoNQ,20183,2763,969550,4.75
https://youtu.be/i23NEQEFpgQ,11872380,789834,382633599,4.48
https://youtu.be/J0cLGT4kPV0,35393,1097,606628,3.32
https://youtu.be/zaYqW9s9Aok,926349,28475,27409514,3.33
https://youtu.be/ZTtnVES4EVk,140140,7238,1091279,3.37
https://youtu.be/fJubafP3IMI,17277,431,1198283,3.7
https://youtu.be/U_dpIqCDcZk,246971,11216,5740290,5.78
https://youtu.be/5JPGujmFbis,24271,848,2992656,3.72
https://youtu.be/aLGAqZEiN3c,32290,11698,244541,3.62
https://youtu.be/OoMIAo0a2TA,136083,3772,5992910,4.62
https://youtu.be/LrggmyDhWBo,621837,10417,28318918,3.42
https://youtu.be/USlrvoGQGEc,41662,2466,551980,3.32
https://youtu.be/hfLZnNby97c,228968,9182,3176314,2.95
https://youtu.be/xpDlghQYvoo,29714,3122,545382,3.02
https://youtu.be/5CcVngv5ALw,81092,6594,1775903,3.02
https://youtu.be/VN3sefQ0ksE,127173,5342,1566599,3.72
https://youtu.be/i7Q52jThBVg,4362,NaN,100582,4.22
https://youtu.be/oM_t7Y8gBwU,234740,12005,8035037,3.4
https://youtu.be/FR8VWEgcvU8,28714,1963,815087,3.87
https://youtu.be/GVGS_QTkvfw,NaN,NaN,NaN,
https://youtu.be/TUCsNk8PtCA,46017,3024,437359,3.27
https://youtu.be/F13ICLLdgHY,51684,3870,822350,3.82
https://youtu.be/ZuFwZW1hdq8,19572,695,304528,3.18
https://youtu.be/F32hhOsJ14k,508319,22830,14063157,3.13
https://youtu.be/M_eRLMCC6vU,4809,999,266238,3.25
https://youtu.be/_-QY40Reub8,1014018,67825,22347297,3.08
https://youtu.be/uvs4nyijMZw,NaN,NaN,NaN,
https://youtu.be/VEJ6GLlSGG4,6961,343,57486,3.3
https://youtu.be/SvV49SD99DY,934531,78714,22047327,3.57
https://youtu.be/q7oOpkYZvK4,39557,2255,422824,4.02
https://youtu.be/-EfjXQgE1e8,1877850,205223,53307398,4.05
https://youtu.be/Wiq0J7_jHI8,148065,5377,2502471,3.37
https://youtu.be/ByHNlfmmT-w,1018891,36951,28812590,4.08
https://youtu.be/3BypwfOAmGU,485656,19605,11756707,3.3
https://youtu.be/hjZDpw3aNmQ,NaN,NaN,NaN,
https://youtu.be/P5uE7KDkDFE,1245422,471742,20621288,4.92
https://youtu.be/iR7HsIrFqoU,212316,12742,13270170,3.67
https://youtu.be/uABVI1yEX_w,152854,21191,2187099,3.25
https://youtu.be/64DAMwporD8,26298,1264,221726,3.67
https://youtu.be/deV_DmHKwjc,1354666,34562,73275448,3.58
https://youtu.be/4EVjJpieKVM,68028,4748,977195,3.72
https://youtu.be/nO4NxoqEQ30,65688,5340,1062530,3.32
https://youtu.be/Tel9LEfAzwI,262051,30713,4508042,3.33
https://youtu.be/oDJ4ct59NC4,3087764,127886,106200923,3.18
https://youtu.be/I3uzROnFGnA,160357,2889,7038752,3.25
https://youtu.be/bVDBEEkWJHM,392577,17579,12059630,3.68
https://youtu.be/oA6sS1ndTM4,137374,4388,2018041,3.85
https://youtu.be/Oo-LPNYc5qo,83342,3338,1547363,3.38
https://youtu.be/GQqyCeKf8rw,1765190,66892,67102516,3.5
https://youtu.be/CeT--DbjtQI,130281,4432,1616797,3.88
https://youtu.be/bB-DEiPBh0Y,7676,563,291317,3.32
https://youtu.be/uaAAG1e4mTc,55841,3853,690783,3.8
https://youtu.be/0lfRkODaTy8,31547,1664,272165,3.95
https://youtu.be/oFvHoyLpCoQ,155919,4277,3950680,3.1
https://youtu.be/zElfR8e1iso,28825,2004,1016684,4.17
https://youtu.be/0Z7kxtyBZUo,13082,1003,132322,3.45
https://youtu.be/GPohNpbNP4M,46580,2899,507749,3.45
https://youtu.be/zgiOGE6_NPI,18599,892,215356,3.37
https://youtu.be/ORC3tUxn5XI,11910,312,361991,2.9
https://youtu.be/NS0Fkympr_w,2359,318,89501,4.6
https://youtu.be/4HG_CJzyX6A,904838,48202,41572340,3.52
https://youtu.be/mE4hSQ7j0M,NaN,NaN,NaN,
https://youtu.be/dnQflYjicms,NaN,NaN,NaN,
https://youtu.be/5zONW_hyI5A,69318,3255,6794084,4.02
https://youtu.be/INfkvoXqYzY,NaN,NaN,NaN,
https://youtu.be/kT3n1tja5yQ,6159,500,169788,3.62
https://youtu.be/0Sn3s1PMl70,43919,5185,629267,3.58
https://youtu.be/19XLIdOMZUY,43408,3247,580336,3.37
https://youtu.be/gjQgIlyB6pM,NaN,NaN,NaN,
https://youtu.be/_E5JtAcc3cY,350449,18991,8362582,3.23
https://youtu.be/a6dO_o5PmI0,28351,3363,883438,2.9
https://youtu.be/4ohhl6ONdDk,81212,3810,1549135,2.72
https://youtu.be/67jSYCSrnE4,111594,5097,4087024,4.6
https://youtu.be/YZXtYFCNpz0,871,68,23786,3.45
https://youtu.be/LzFhhCxz2Zg,49042,4639,1225108,3.22
https://youtu.be/bVxe8_8RsjQ,52372,2638,965074,4.12
https://youtu.be/yNe39XGY9YU,69227,3759,935843,3.93
https://youtu.be/-OfOkiVFmhM,1129488,77398,50091567,3.43
https://youtu.be/_0-XV27zTHA,2461,192,34071,3.5
https://youtu.be/ZSAEHKQYIOo,111154,13970,1510831,6.57
https://youtu.be/yDWei1-exJU,57144,4461,1585191,3.32
https://youtu.be/iqoclLIdcA0,129863,7798,2337951,3.28
https://youtu.be/qXDwvvoCRwc,41328,2289,666638,3.27
https://youtu.be/1aLPKmN73Xg,81597,6583,1428163,3.62
https://youtu.be/gyNYCrrYcBY,77852,7100,1028898,4.45
https://youtu.be/L15ZZX9n56M,301286,12813,17716691,3.7
https://youtu.be/MJRF88ONbBA,114532,12861,1852590,4.67
https://youtu.be/td45j4o3ybE,46073,5248,844124,3.58
https://youtu.be/o1XOFi42xZM,89075,6173,1586357,4.17
https://youtu.be/WdXD32ZW4WE,37330,4470,458605,4.0
https://youtu.be/Y_2r0r1gnNY,37660,2532,1397375,3.52
https://youtu.be/ZLjs8rfejcU,29262,1119,639344,3.32
https://youtu.be/hhXDFl6tmVY,147320,4150,11790441,3.47
https://youtu.be/EPVqOy1nwnQ,84246,6353,1680538,4.13
https://youtu.be/6150sLpksHU,234418,20876,3737070,4.92
https://youtu.be/4jo4RrjTH7w,35997,2888,437751,3.9
https://youtu.be/v_TqpWGYXeI,61675,4575,899336,2.67
https://youtu.be/eiCDZYdPmys,151401,7934,4023647,3.98
https://youtu.be/NY8VGNft-Zc,953830,55412,56540811,3.75
https://youtu.be/TZWSW90lybM,303000,15545,8631025,3.37
https://youtu.be/xliR1v7Ke5c,49554,2566,412778,3.72
https://youtu.be/l2QZrVp4mpI,44227,3283,594926,3.83
https://youtu.be/3Uyl_ifBiLE,191528,4053,12627852,4.4
https://youtu.be/ZOxlPu_rizU,253866,10778,5815423,3.07
https://youtu.be/lW18GN9TfZc,NaN,NaN,NaN,
https://youtu.be/D0OTv7ZUle4,278557,16002,7403699,4.12
https://youtu.be/b73BI9eUkjM,14334348,2393758,926226473,2.95
https://youtu.be/ijSbzTvM_mc,31306,1729,624410,3.27
https://youtu.be/BJUjR2N0aEM,246542,15408,3864208,3.77
https://youtu.be/RlMg8FbcP7g,283165,11235,7306720,3.12
https://youtu.be/JI6Jyup0Grc,2679,123,87067,3.58
https://youtu.be/im1UUY8dQIk,470637,29404,13338223,3.9
https://youtu.be/2MiQonPvlVM,210470,16569,11198175,3.28
https://youtu.be/Qd36eR0n_ag,3828,154,107109,3.63
https://youtu.be/g7SaHANkFaE,126769,6729,1937754,3.3
https://youtu.be/n2VWSc-jSo,NaN,NaN,NaN,
https://youtu.be/50czugdZXgo,NaN,NaN,NaN,
https://youtu.be/KR-Z3YYM5xw,40220,3235,852055,3.98
https://youtu.be/0gmZBW3Ngf0,58163,1725,1570491,5.23
https://youtu.be/AoZFLCy-P-8,552406,20812,21197245,3.4
https://youtu.be/Wn03tgpmMJg,32356,1110,1090057,3.5
https://youtu.be/2YVJxmokb1M,43245,5668,554417,4.38
https://youtu.be/fwetVfkOBuE,16230,407,628605,3.43
https://youtu.be/7Rb5ISGbAbU,26056,906,592091,3.78
https://youtu.be/T87wXAJe-_M,216890,11248,4442254,3.03
https://youtu.be/zEf80W_rjSQ,3045,136,608302,3.78
https://youtu.be/KNWLQI5_JLc,280160,7894,13602712,3.28
