Date,Artist,Song Name,Director,Video,Type,Release,Full Name,Date of Birth,Group,Country,Birthplace,Gender,Debut,Company,Fanclub Name,Active,Members,Orig. Memb.
5/22/2020,Suga,Daechwita,,https://youtu.be/qGjAWJ2zWWI,Boy Solo,Major,Min Yoongi,3/9/1993,BTS,South Korea,Daegu,M,NaN,NaN,NaN,NaN,1.0,1.0
5/21/2020,Yubin,yaya (Me Time),,https://youtu.be/BJD0arHF_5c,Girl Solo,Major,Kim Yubin,10/4/1988,Wonder Girls,South Korea,Gwangju,F,NaN,NaN,NaN,NaN,1.0,1.0
5/20/2020,Ryu Sujeong,Tiger Eyes,,https://youtu.be/aE6curPGQRY,Girl Solo,Major,Ryu Sujeong,11/19/1997,Lovelyz,South Korea,Daejeon,F,NaN,NaN,NaN,NaN,1.0,1.0
5/20/2020,Crush,Mayday feat. Joy (Red Velvet),,https://youtu.be/29ycT6fA-Rs,Boy Solo,Major,Shin-Hyoseob,5/3/1992,,South Korea,Seoul,M,NaN,NaN,NaN,NaN,1.0,1.0
5/7/2020,Moon Jongup,Headache feat. Yunhway,,https://youtu.be/KTAZ7I8RylM,Boy Solo,Major,Moon Jongup,2/6/1995,B.A.P,South Korea,Seoul,M,NaN,NaN,NaN,NaN,1.0,1.0
5/7/2020,Natty,Nineteen,,https://youtu.be/rQpWdm5zHOU,Girl Solo,Major,Natty,5/30/2002,,,,F,NaN,NaN,NaN,NaN,1.0,1.0
5/6/2020,IU,eight feat. SUGA,,https://youtu.be/TgOu00Mf3kI,Girl Solo,Major,Lee Jieun,5/16/1993,,South Korea,Seoul,F,NaN,NaN,NaN,NaN,1.0,1.0
5/4/2020,Taeyeon,Happy,,https://youtu.be/Raj-AuQgCTg,Girl Solo,Major,Kim Taeyeon,3/9/1989,SNSD,South Korea,Jeonju,F,NaN,NaN,NaN,NaN,1.0,1.0
4/29/2020,Bibi,Kazino,Segaji Video,https://youtu.be/ObzvA8tx9aA,Girl Solo,Major,Kim Hyung-seo,9/27/1998,,,,F,NaN,NaN,NaN,NaN,1.0,1.0
4/28/2020,Yenny,Life Sucks,,https://youtu.be/Qk0fkeMAUz0,Girl Solo,Major,Park Yeeun,5/26/1989,Wonder Girls,South Korea,Goyang,F,NaN,NaN,NaN,NaN,1.0,1.0
4/28/2020,Minseo,No Good Girl,,https://youtu.be/Ctlp1NNqXq0,Girl Solo,Major,Kim Minseo,8/12/2004,woo!ah!,South Korea,,F,NaN,NaN,NaN,NaN,1.0,1.0
4/27/2020,Chungha,Stay Tonight,Rigend Film,https://youtu.be/YPFIh0dfYfw,Girl Solo,Major,Kim Chungha,2/9/1996,,South Korea,Dallas,F,NaN,NaN,NaN,NaN,1.0,1.0
4/26/2020,Yenny,Solitude,,https://youtu.be/eto1czNzbwY,Girl Solo,Major,Park Yeeun,5/26/1989,Wonder Girls,South Korea,Goyang,F,NaN,NaN,NaN,NaN,1.0,1.0
4/26/2020,Ben,Bad,,https://youtu.be/BYQ5MKtSzd0,Girl Solo,Major,Lee Eun-young,7/30/1991,,South Korea,Incheon,F,NaN,NaN,NaN,NaN,1.0,1.0
4/23/2020,Yenny,Satellite,,https://youtu.be/aiaLSkDDBec,Girl Solo,Major,Park Yeeun,5/26/1989,Wonder Girls,South Korea,Goyang,F,NaN,NaN,NaN,NaN,1.0,1.0
4/23/2020,Solar,Spit it out,,https://youtu.be/V8FXWf0s7K0,Girl Solo,Major,Kim Yongsun,2/21/1991,Mamamoo,South Korea,Seoul,F,NaN,NaN,NaN,NaN,1.0,1.0
4/21/2020,Yenny,Satellite (Feat. ASH ISLAND),,https://youtu.be/aiaLSkDDBec,Girl Solo,Major,Park Yeeun,5/26/1989,Wonder Girls,South Korea,Goyang,F,NaN,NaN,NaN,NaN,1.0,1.0
4/18/2020,Zelo,She and Malibu,,https://youtu.be/EFjCTvNZU1s,Boy Solo,Major,Choi Junhong,10/15/1996,B.A.P,South Korea,Mokpo,M,NaN,NaN,NaN,NaN,1.0,1.0
4/9/2020,DALsooobin,Dive,,https://youtu.be/IENMc46TMtU,Girl Solo,Major,Park Subin,2/12/1994,Dal Shabet,South Korea,Gwangju,F,NaN,NaN,NaN,NaN,1.0,1.0
4/7/2020,Stella Jang,Villain,,https://youtu.be/ghpn99s8I-U,Girl Solo,Major,Jang Seongeun,18-Nov,,,,F,NaN,NaN,NaN,NaN,1.0,1.0
4/6/2020,Max Changmin,Chocolate,,https://youtu.be/-sKqPjhSiq0,Boy Solo,Major,Shin Changmin,2/18/1988,TVXQ,South Korea,Seoul,M,NaN,NaN,NaN,NaN,1.0,1.0
4/1/2020,Hong Jinyoung,Love is like a petal,,https://youtu.be/aTx5trrmYCQ,Girl Solo,Major,Hong Jinyoung,8/9/1985,,South Korea,Gwangju,F,NaN,NaN,NaN,NaN,1.0,1.0
3/30/2020,Suho,Let's Love,,https://youtu.be/Ygrv55VRRas,Boy Solo,Major,Kim Junmyeon,5/22/1991,EXO,South Korea,Seoul,M,NaN,NaN,NaN,NaN,1.0,1.0
3/24/2020,Kang Daniel,2U,,https://youtu.be/GmqfRBaJm6I,Boy Solo,Major,Kang Daniel,12/10/1996,Wanna One,South Korea,Busan,M,NaN,NaN,NaN,NaN,1.0,1.0
3/22/2020,Kisum,Primero,,https://youtu.be/5YsdHqm9udM,Girl Solo,Minor,Jong Hyeryung,1/20/1994,,South Korea,Seoul,F,NaN,NaN,NaN,NaN,1.0,1.0
3/17/2020,Sejeong,Plant,,https://youtu.be/pbAUixR61Vs,Girl Solo,Major,Kim Sejeong,8/28/1996,Gugudan,South Korea,,F,NaN,NaN,NaN,NaN,1.0,1.0
3/15/2020,Hong Eunki,Breath,,https://youtu.be/zIvlwzMuP-4,Boy Solo,Major,Hong Eunki,9/29/1997,,South Korea,,M,NaN,NaN,NaN,NaN,1.0,1.0
3/13/2020,Eyedi,J.us.t,,https://youtu.be/UbIz99fsUXY,Girl Solo,Major,Nam Yujin,12/8/1995,,South Korea,Suncheon,F,NaN,NaN,NaN,NaN,1.0,1.0
3/4/2020,VIINI,"Love The Moon feat. Suhyun, BLOO",,https://youtu.be/Md9RRt2r3TU,Boy Solo,Major,Kwon Hyunbin,3/4/1997,JBJ,South Korea,Seoul,M,NaN,NaN,NaN,NaN,1.0,1.0
2/28/2020,Lim Kim,Mong,,https://youtu.be/XYNfqKJr538,Girl Solo,Major,Kim Yerim,1/21/1994,,South Korea,Seoul,F,NaN,NaN,NaN,NaN,1.0,1.0
2/24/2020,AleXa,A.I Trooper,,https://youtu.be/LGt-Dmnjk-s,Girl Solo,Minor,Kim Seri,12/6/1996,,USA,,F,NaN,NaN,NaN,NaN,1.0,1.0
2/24/2020,Ravi,ROCKSTAR (Feat. Paloalto),,https://youtu.be/OZw8s1wVUtU,Boy Solo,Major,Kim Wonsik,2/15/1993,VIXX,South Korea,Seoul,M,NaN,NaN,NaN,NaN,1.0,1.0
2/21/2020,Moon,Woo,,https://youtu.be/WDrcvug1xZs,Girl Solo,Major,Moon Sujin,,,,,F,NaN,NaN,NaN,NaN,1.0,1.0
2/8/2020,Sunmi,Gotta Go,,https://youtu.be/fN-YPbbGUoE,Girl Solo,OST,Lee Sunmi,5/2/1992,Wonder Girls,South Korea,Iksan,F,NaN,NaN,NaN,NaN,1.0,1.0
2/5/2020,SAAY,Winter feat. WOO,,https://youtu.be/XFdPF5gyjTc,Girl Solo,Major,Kwon Sohee,4/13/1993,,South Korea,Busan,F,NaN,NaN,NaN,NaN,1.0,1.0
2/2/2020,Kim Jaehwan,Goodbye,,https://youtu.be/he_XQNuWhis,Boy Solo,Major,Kim Jaehwan,5/27/1996,Wanna One,South Korea,Seoul,M,NaN,NaN,NaN,NaN,1.0,1.0
1/30/2020,Yezi,My Gravity,,https://youtu.be/YimQ4mB0uiM,Girl Solo,Major,Lee Yeji,8/26/1994,Fiestar,South Korea,Gangneung,F,NaN,NaN,NaN,NaN,1.0,1.0
1/28/2020,Siyeon,Paradise,,https://youtu.be/JDmZ6oguzzM,Girl Solo,Special,Lee Siyeon,10/1/1995,Dreamcatcher,South Korea,Daegu,F,NaN,NaN,NaN,NaN,1.0,1.0
1/20/2020,Kiara,Boss,,https://youtu.be/f5pTBgvXJeA,Girl Solo,Major,Baek Jinjoo,8/20/1998,,South Korea,,F,NaN,NaN,NaN,NaN,1.0,1.0
1/15/2020,Taeyeon,Dear Me,,https://youtu.be/bho0m505qVA,Girl Solo,Major,Kim Taeyeon,3/9/1989,SNSD,South Korea,Jeonju,F,NaN,NaN,NaN,NaN,1.0,1.0
