Stage Name,Full Name,Korean Name,K. Stage Name,Date of Birth,Group,Country,Birthplace,Other Group,Gender
A.M,Seong Hyunwoo,성현우,에이엠,12/31/1996,Limitless,South Korea,,,M
Ace,Jang Wooyoung,장우영,에이스,8/28/1992,VAV,South Korea,,,M
Aeji,Kwon Aeji,권애지,애지,10/25/1999,Hashtag,South Korea,Daegu,,F
AhIn,Lee Ahin,이아인,아인,9/27/1999,MOMOLAND,South Korea,Wonju,,F
Ahra,Go Ahra,고아라,아라,2/21/2001,Favorite,South Korea,Yeosu,,F
Ahyoung,Cho Jayoung,조자영,아영,5/26/1991,Dal Shabet,South Korea,Seoul,,F
Ahyung,Kang Ahyoung,강아형,아형,8/27/1996,P.O.P,South Korea,Pohang,,F
Ailee,Lee Yejin,이예진,에일리,5/30/1989,,South Korea,Denver,,F
Aini,Kim Heejung,김희정,아이니,7/13/1991,Pink Fantasy,South Korea,,,F
Aisha,Heo Yoorim,허유림,아샤,7/21/2000,Everglow,South Korea,,,F
AleXa,Kim Seri,김세리,알렉사,12/6/1996,,USA,,,F
Alice,Song Joohee,송주희,앨리스,3/21/1990,Hello Venus,South Korea,Wonju,,F
Allen,Allen Ma,앨런 마,앨런,4/26/1999,CRAVITY,USA,,,M
Amber,Amber Josephine Liu,엠버 조세핀 리우,엠버,9/18/1992,f(x),USA,Los Angeles,,F
Anne,Lee Seoyoung,이서영,앤,10/17/2000,GWSN,South Korea,,,F
Anthony,Anthony Lo,엔써니 루오,엔써니,3/12/1998,VARSITY,China,,,M
Arang,Son Mnjung,손민정,아랑,3/8/2000,,South Korea,,,F
Arang,Park Yerim,박예림,아랑,1/22/2001,Pink Fantasy,South Korea,,,F
Ari,Kim Sunyoung,김선영,아리,10/23/1994,Tahiti,South Korea,Daegu,,F
Ari,Hwang Nayoon,황나윤,아리,3/30/1999,RedSquare,South Korea,Seoul,,F
Arie,Jeon Minjae,전민재,아리,4/7/2000,MIXX,South Korea,,,F
Arin,Choi Yewon,최예원,아린,6/18/1999,Oh My Girl,South Korea,Busan,,F
Aron,Kwak Youngmin,곽영민,아론,5/21/1993,NU'EST,South Korea,California,NU'EST W,M
Asahi,Hanada Asahi,하나다 아사히,아사히,8/20/2001,Treasure,Japan,,,M
Ashley,Ashley Choi,애슐리 최,애슐리,11/9/1991,Ladies' Code,South Korea,Incheon,,F
Aurora,Yang Lan,양안,오로라,1/14/1997,NATURE,China,,,F
Avin,Park Donghyun,박동혁,어빈,12/18/1999,ENOi,South Korea,,,M
Ayno,Noh Yoonho,노윤호,에이노,5/1/1996,VAV,South Korea,,,M
B-Bomb,Lee Minhyuk,이민혁,비범,12/14/1990,Block B,South Korea,Seoul,Bastarz,M
B-Joo,Kim Byungjoo,김병주,비주,1/8/1994,Topp Dogg,South Korea,Seoul,,M
B.I,Kim Hanbin,김한빈,비아이,10/22/1996,,South Korea,Goyang,,M
B.S,Lee Youngsoo,이영수,비에스,4/14/1995,14U,South Korea,,,M
Babysoul,Lee Soojung,이수정,베이비소울,7/6/1992,Lovelyz,South Korea,Gwangju,,F
Bada,Kim Bada,김바다,바다,5/28/2002,Hinapia,South Korea,,,F
Baekah,Kim Sua,김수아,백아,10/24/1999,NeonPunch,South Korea,,,F
Baekho,Kang Dongho,강동호,백호,7/21/1995,NU'EST,South Korea,Jeju,NU'EST W,M
Baekhyun,Byun Baekhyun,변백현,백현,5/6/1992,EXO,South Korea,Wonmi,"EXO-CBX, SuperM",M
BamBam,Kunpimook Bhuwakul,꾼삐묵 부와꾼,뱀뱀,5/2/1997,GOT7,Thailand,Bangkok,,M
Bang Chan,Bang Chan,방찬,방찬,10/3/1997,Stray Kids,Australia,Sydney,3RACHA,M
Baro,Cha Sunwoo,차선우,바로,9/5/1992,B1A4,South Korea,Gwangju,,M
Baron,Choi Chunghyeop,최충협,바론,4/19/1992,VAV,South Korea,,,M
BC,Jin Sungho,진성호,비시,7/18/1994,1TEAM,South Korea,,,M
Bekah,Rebecca Kim,김레베카,베카,8/11/1989,,South Korea,Honolulu,,F
BEL,Choi Sunghoon,최성훈,벨,5/21/2000,DUSTIN,South Korea,,,M
Bella,Choi Yuna,최윤아,벨라,2/2/1999,ELRIS,South Korea,,,F
Belle,Jin Hyeonjoo,진현주,벨,11/3/2001,Cignature,South Korea,Goyang,,F
Benji,Baek Jaewook,배제욱,벤지,5/3/1992,B.I.G,USA,Indianapolis,,M
Beomgyu,Choi Beomgyu,최범규,범규,3/13/2001,TXT,South Korea,,,M
Bian,Yu Jiwon,유지원,비안,2/13/2001,ANS,South Korea,,,F
Bic,Nam Seungmin,남승민,빅,4/25/2001,MCND,South Korea,,,M
Bin,Kwon Soobin,김수빈,빈,10/28/1993,Hot Blood Youth,South Korea,,,M
Binnie,Bae Yubin,배유빈,비니,9/9/1997,Oh My Girl,South Korea,Chuncheon,,F
Bitsaeon,Kim Sangyeon,김상연,빛새온,6/4/1995,MONT,South Korea,,,M
Bitto,Lee Changhyun,이창현,비토,8/24/1996,UP10TION,South Korea,Dongducheon,,M
Blue,Jung Gahee,정가희,파랑,1/18/1994,Pungdeng-E,South Korea,Gwangju,,F
BM,Matthew Kim,매튜김,비엠,10/20/1992,KARD,South Korea,,,M
BoA,Kwon Boa,권보아,보아,11/5/1989,,South Korea,Guri,,F
Boa,Kim Boah,김보아,보아,1/14/1987,SPICA,South Korea,,,F
Bobby,Kim Jiwon,김지원,바비,12/21/1995,iKON,South Korea,Seoul,,M
Bohyung,Kim Bohyung,김보형,보형,3/31/1991,SPICA,South Korea,,SPICA-S,F
Bokeun,Kim Bokeun,김복은,복은,10/12/1994,SIGNAL,South Korea,,,M
Park Bom,Park Bom,박봄,봄,3/24/1984,2NE1,South Korea,,,F
Bomi,Yoon Bomi,윤보미,보미,9/13/1993,Apink,South Korea,Suwon,,F
Bomin,Choi Bomin,최보민,보민,8/24/2000,Golden Child,South Korea,,,M
Bomin,Kim Bomin,김보민,보민,9/24/2001,RedSquare,South Korea,Gwangju,,F
Bona,Kim Jiyeon,김지연,보나,8/19/1995,Cosmic Girls,South Korea,Daegu,,F
Boni,Choi Euijeong,최의정,보니,10/30/1999,Dreamnote,South Korea,,,F
Bora,Yoon Bora,윤보라,보라,1/30/1990,SISTAR,South Korea,,,F
Bora,Kim Bora,김보라,보라,3/3/1999,Cherry Bullet,South Korea,,,F
Boram,Jeon Boram,전보람,보람,3/22/1986,T-ara,South Korea,Seoul,,F
Bullet,Jin Junwoo,진준우,블릿,12/2/1995,VARSITY,South Korea,Seoul,,M
BX,Lee Byounggon,이병곤,비엑스,3/5/1998,CIX,South Korea,Incheon,,M
Byungchan,Choi Byungchan,최병찬,병찬,11/12/1997,VICTON,South Korea,,,M
C.A.P,Bang Minsoo,방민수,캡,11/4/1992,Teen Top,South Korea,Seongnam,,M
Cao Lu,Cao Lu,차오루,차오루,8/30/1987,Fiestar,China,Zhangjiajie,,F
Casper,Chu Xiaoxiang,저효상,캐스퍼,3/20/1991,CROSS GENE,China,Shanghai,,M
Castle J,Son Sangjoon,손성준,캐슬제이,5/31/1999,MCND,South Korea,,,M
Cha Hoon,Cha Hoon,차훈,차훈,7/12/1994,N.Flying,South Korea,Seoul,,M
Chaea,Kim Chaeyoung,김채영,체리,7/5/1997,RedSquare,South Korea,Gunsan,,F
Chaebin,Choi Yoobin,최유빈,채빈,7/28/1999,NATURE,South Korea,,,F
Chaehyun,Kim Chaehyun,김채현,채현,11/29/1999,Bonus Baby,South Korea,,,F
Chaejin,Chae Jinseok,채진석,채진,12/26/1995,MYNAME,South Korea,Seoul,,M
Chaekyung,Yoon Chaekyung,윤채경,채경,7/7/1996,APRIL,South Korea,Incheon,"C.I.V.A, I.B.I",F
Chaelin,Lee Chaelin,이채린,채린,10/20/1999,FANATICS,South Korea,,,F
Chaerin,Park Chaerin,박채린,채린,3/13/2002,Cherry Bullet,South Korea,,,F
Chaeryeong,Lee Chaeryeong,이채령,채령,7/5/2001,ITZY,South Korea,,,F
Chaesol,Maeng Chaesol,맹채솔,채솔,7/14/1998,Cignature,South Korea,Yeosu,,F
Chaewon,Kim Chaewon,김채원,채원,11/8/1997,APRIL,South Korea,Gongju,,F
Chaewon,Kim Chaewon,김채원,채원,8/1/2000,IZ*ONE,South Korea,Seoul,,F
ChaeY,Song Chaeyeon,송채연,채이,1/6/2003,CRAXY,South Korea,,,F
Chaeyeon,Jung Chaeyeon,정채연,채연,12/1/1997,DIA,South Korea,Suncheon,I.O.I,F
