Date,Artist,Song Name,Korean Name,Director,Video,Type,Release
5/22/2020,Suga,Daechwita,대취타,,https://youtu.be/qGjAWJ2zWWI,Boy Solo,Major
5/21/2020,Yubin,yaya (Me Time),넵넵,,https://youtu.be/BJD0arHF_5c,Girl Solo,Major
5/21/2020,OnlyOneOf,Angel (prod. GRAY),,,https://youtu.be/vVTo8p72FxQ,Boy,Major
5/20/2020,Ryu Sujeong,Tiger Eyes,,,https://youtu.be/aE6curPGQRY,Girl Solo,Major
5/20/2020,Crush,Mayday feat. Joy (Red Velvet),자나깨나,,https://youtu.be/29ycT6fA-Rs,Boy Solo,Major
5/19/2020,NCT 127,Punch,,,https://youtu.be/U08OSl3V4po,Boy,Major
5/19/2020,SECRET NUMBER,Who Dis?,,,https://youtu.be/mkYwq_CKpyw,Girl,Major
5/18/2020,REDSQUARE,ColorFull,,,https://youtu.be/we1wqjcsYBU,Girl,Major
5/18/2020,N.Flying,Amnesia,,,https://youtu.be/UcxNeKzdDN4,Boy,Japanese
5/18/2020,TXT,Can't You See Me?,"세계가 불타버린 밤, 우린...",,https://youtu.be/cMFHUTJ13Ys,Boy,Major
5/15/2020,woo!ah!,woo!ah!,우아,,https://youtu.be/FBcuYNTmYdM,Girl,Major
5/15/2020,Oh My Girl,Dolphin,,,https://youtu.be/oaRTMjLdiDw,Girl,Special
5/14/2020,UNVS,Give You Up,,,https://youtu.be/AhHkUqlELvU,Boy,Major
5/13/2020,Busters,Paeonia,피오니아,,https://youtu.be/ocFqqAMooSk,Girl,Major
5/13/2020,BOL4,Hug,품,,https://youtu.be/qfeoX17dav0,Girl,Major
5/12/2020,BVNDIT,Jungle,정글,,https://youtu.be/-lqsGDqkl2c,Girl,Major
5/12/2020,"Baek Z Young, Ong Seongwu",didn't say anything,아무런 말들도,,https://youtu.be/nfEPWfKtS0k,Co-ed,Special
5/11/2020,NU'EST,I'm In Trouble,,,https://youtu.be/4Lm9u-iXrDc,Boy,Major
5/11/2020,DAY6,Zombie,,,https://youtu.be/k8gx-C7GCGU,Boy,Major
5/7/2020,Moon Jongup,Headache feat. Yunhway,개화,,https://youtu.be/KTAZ7I8RylM,Boy Solo,Major
