DATE,DTWEXBGS
1/2/2020,114.98
1/3/2020,114.99
1/6/2020,114.96
1/7/2020,115.15
1/8/2020,115.14
1/9/2020,115.24
1/10/2020,115.07
1/13/2020,115.04
1/14/2020,115.03
1/15/2020,114.96
1/16/2020,115.00
1/17/2020,115.07
1/20/2020,115.07
1/21/2020,115.19
1/22/2020,115.23
1/23/2020,115.56
1/24/2020,115.56
1/27/2020,115.80
1/28/2020,115.73
1/29/2020,115.70
1/30/2020,115.81
1/31/2020,115.74
2/3/2020,116.12
2/4/2020,115.93
2/5/2020,116.01
2/6/2020,116.15
2/7/2020,116.51
2/10/2020,116.57
2/11/2020,116.36
2/12/2020,116.28
2/13/2020,116.40
2/14/2020,116.43
2/17/2020,116.43
2/18/2020,116.61
2/19/2020,116.79
2/20/2020,117.25
2/21/2020,117.05
2/24/2020,117.41
2/25/2020,117.25
2/26/2020,117.41
2/27/2020,117.37
2/28/2020,117.66
3/2/2020,116.82
3/3/2020,116.50
3/4/2020,116.78
3/5/2020,116.79
3/6/2020,116.71
3/9/2020,117.19
3/10/2020,117.90
3/11/2020,118.25
3/12/2020,120.49
3/13/2020,120.44
3/16/2020,120.94
3/17/2020,122.48
3/18/2020,124.16
3/19/2020,125.06
3/20/2020,124.94
3/23/2020,126.13
3/24/2020,125.50
3/25/2020,124.79
3/26/2020,122.43
3/27/2020,122.40
3/30/2020,123.29
3/31/2020,122.53
4/1/2020,123.80
4/2/2020,123.59
4/3/2020,124.42
4/6/2020,124.16
4/7/2020,123.10
4/8/2020,123.22
4/9/2020,122.48
4/10/2020,122.16
4/13/2020,122.52
4/14/2020,122.12
4/15/2020,123.08
4/16/2020,123.46
4/17/2020,122.87
4/20/2020,123.11
4/21/2020,123.91
4/22/2020,123.93
4/23/2020,123.76
4/24/2020,124.17
4/27/2020,123.89
4/28/2020,123.37
4/29/2020,122.78
4/30/2020,122.33
5/1/2020,123.15
5/4/2020,123.22
5/5/2020,122.81
5/6/2020,123.61
5/7/2020,123.13
5/8/2020,122.54
5/11/2020,123.24
5/12/2020,123.06
5/13/2020,123.54
5/14/2020,123.65
5/15/2020,123.60
5/18/2020,122.80
5/19/2020,122.57
5/20/2020,122.10
5/21/2020,122.09
5/22/2020,122.32
5/25/2020,122.32
5/26/2020,121.39
5/27/2020,121.57
5/28/2020,121.02
5/29/2020,120.95
6/1/2020,120.27
6/2/2020,119.69
6/3/2020,119.26
6/4/2020,119.31
6/5/2020,118.82
6/8/2020,118.67
6/9/2020,118.59
6/10/2020,118.53
6/11/2020,119.24
6/12/2020,119.67
6/15/2020,119.96
6/16/2020,119.57
6/17/2020,119.91
6/18/2020,120.22
6/19/2020,120.22
6/22/2020,119.76
6/23/2020,119.33
6/24/2020,119.98
6/25/2020,120.30
6/26/2020,120.54
6/29/2020,120.67
6/30/2020,120.47
7/1/2020,120.09
7/2/2020,119.86
7/3/2020,119.86
7/6/2020,119.29
7/7/2020,119.58
7/8/2020,119.56
7/9/2020,119.52
7/10/2020,119.36
7/13/2020,119.19
7/14/2020,119.39
7/15/2020,119.04
7/16/2020,118.93
7/17/2020,119.13
7/20/2020,119.05
7/21/2020,118.41
