,year,size
0,2009,52
1,2009,40
2,2009,65
3,2009,46
4,2009,55
5,2009,46
6,2009,50
7,2009,58
8,2009,58
9,2009,50
10,2009,7
11,2009,7
12,2009,7
13,2009,42
14,2009,47
15,2009,6
16,2009,47
17,2009,32
18,2009,42
19,2009,26
20,2009,37
21,2009,5
22,2009,42
23,2009,6
24,2009,47
25,2009,82
26,2009,73
27,2009,65
28,2009,60
29,2009,55
30,2009,32
31,2009,37
32,2009,9
33,2009,9
34,2009,5
35,2009,42
36,2009,46
37,2009,40
38,2009,46
39,2009,52
40,2009,50
41,2009,58
42,2009,6
43,2009,6
44,2009,42
45,2009,47
46,2009,52
47,2009,46
48,2009,40
49,2009,52
50,2009,46
51,2009,55
52,2009,40
53,2009,46
54,2009,5
55,2009,47
56,2009,37
57,2009,42
58,2009,50
59,2009,55
60,2009,40
61,2009,46
62,2009,9
63,2009,6
64,2009,46
65,2009,55
66,2009,9
67,2009,46
68,2009,42
69,2009,40
70,2009,65
71,2009,50
72,2009,32
73,2008,37
74,2008,37
75,2008,46
76,2008,52
77,2008,32
78,2008,32
79,2008,37
80,2008,42
81,2008,47
82,2008,32
83,2008,32
84,2008,42
85,2008,47
86,2008,50
87,2008,50
88,2008,37
89,2008,47
90,2008,52
91,2008,42
92,2008,42
93,2008,46
94,2008,63
95,2008,50
96,2008,63
97,2008,32
98,2008,42
99,2008,46
100,2008,52
101,2008,46
102,2008,50
103,2008,42
104,2008,55
105,2008,40
106,2008,46
107,2008,52
108,2008,58
109,2008,60
110,2008,50
111,2008,32
112,2008,60
113,2008,50
114,2008,65
115,2008,55
116,2008,46
117,2008,58
118,2008,58
119,2008,50
120,2008,42
121,2008,50
122,2008,52
123,2008,46
124,2008,46
125,2008,52
126,2008,52
127,2008,46
128,2008,40
129,2008,52
130,2008,46
131,2008,52
132,2008,46
133,2008,40
134,2008,37
135,2008,50
136,2008,42
137,2008,47
138,2008,40
139,2008,40
140,2008,37
141,2008,32
142,2008,40
143,2008,52
144,2008,46
145,2008,46
146,2008,46
147,2008,32
148,2008,46
149,2008,37
150,2008,52
151,2008,26
153,2008,32
154,2008,60
155,2008,73
156,2008,65
157,2008,67
158,2008,42
159,2008,61
160,2008,60
161,2008,50
162,2008,42
163,2008,40
164,2008,46
165,2008,50
166,2008,40
167,2008,52
168,2008,40
169,2008,52
170,2008,40
171,2008,52
172,2008,46
173,2008,46
174,2008,50
175,2008,46
176,2008,52
177,2008,37
178,2008,52
179,2008,47
180,2008,19
181,2008,22
182,2008,42
183,2008,37
184,2008,26
185,2008,26
186,2008,37
187,2008,42
188,2008,42
189,2008,46
190,2008,50
191,2008,32
192,2008,32
193,2008,32
194,2008,47
195,2008,50
196,2008,46
197,2008,40
198,2008,42
199,2008,52
200,2008,37
201,2008,40
202,2008,32
203,2008,58
204,2008,50
205,2008,42
206,2008,46
207,2008,50
208,2008,37
209,2008,32
210,2008,32
211,2008,47
212,2008,42
213,2008,50
214,2008,11
215,2008,42
216,2008,52
217,2008,58
218,2008,47
219,2008,50
220,2007,40
221,2007,23
222,2007,26
223,2007,23
224,2007,46
225,2007,65
226,2007,42
227,2007,40
228,2007,37
229,2007,52
230,2007,40
231,2007,57
232,2007,73
233,2007,65
234,2007,60
235,2007,50
236,2007,55
237,2007,42
238,2007,37
239,2007,26
240,2007,42
241,2007,52
242,2007,40
243,2007,46
244,2007,42
245,2007,37
246,2007,37
247,2007,32
248,2007,26
249,2007,40
250,2007,40
251,2007,26
252,2007,26
253,2007,46
254,2007,42
255,2007,57
256,2007,46
257,2007,42
258,2007,57
259,2007,52
260,2007,40
261,2007,61
262,2007,50
263,2007,57
264,2007,73
265,2007,46
266,2007,58
267,2007,37
268,2007,42
269,2007,52
270,2007,40
271,2007,42
272,2007,56
273,2007,50
274,2007,58
275,2007,42
276,2007,52
277,2007,42
278,2007,37
279,2007,47
280,2007,46
281,2007,50
282,2007,50
283,2007,42
284,2007,46
285,2007,42
286,2007,42
287,2007,52
288,2007,61
289,2007,50
290,2007,50
291,2007,60
292,2007,47
293,2007,46
294,2007,50
295,2007,65
296,2007,52
297,2007,52
298,2007,58
299,2007,52
300,2007,42
301,2007,50
302,2007,47
303,2007,42
304,2007,42
305,2007,56
306,2007,50
307,2007,32
308,2007,46
309,2007,42
310,2007,46
311,2007,50
312,2007,50
313,2007,47
314,2007,46
315,2007,32
316,2007,47
317,2007,46
318,2007,32
319,2007,32
320,2007,58
321,2007,50
322,2007,52
323,2007,42
324,2007,42
325,2007,50
326,2007,55
327,2007,60
328,2007,60
329,2007,52
330,2007,46
331,2007,58
332,2007,32
333,2007,32
334,2007,47
335,2007,50
336,2007,50
337,2007,65
338,2006,37
339,2006,42
340,2006,50
341,2006,70
342,2006,55
343,2006,61
344,2006,56
345,2006,70
346,2006,61
347,2006,70
348,2006,60
349,2006,56
350,2006,56
351,2006,60
352,2006,42
353,2006,37
354,2006,42
355,2006,42
356,2006,52
357,2006,42
358,2006,32
359,2006,45
360,2006,26
361,2006,40
362,2006,42
363,2006,40
364,2006,46
365,2006,32
366,2006,60
367,2006,42
368,2006,32
369,2006,26
370,2006,23
371,2006,46
372,2006,46
373,2006,40
374,2006,47
375,2006,50
376,2006,56
377,2006,46
378,2006,42
379,2006,50
380,2006,42
381,2006,37
382,2006,40
383,2006,50
384,2006,42
385,2006,42
386,2006,32
387,2006,32
388,2006,42
389,2006,37
390,2006,42
391,2006,65
392,2006,50
393,2006,50
394,2006,40
395,2006,46
396,2006,42
397,2006,56
398,2006,61
399,2006,50
400,2006,60
401,2006,50
402,2006,37
403,2006,61
404,2006,32
405,2006,37
406,2006,1
407,2006,37
408,2006,52
409,2006,56
410,2006,61
411,2006,52
412,2006,61
413,2006,56
414,2006,71
415,2006,61
416,2006,56
417,2006,50
418,2006,61
419,2006,50
420,2006,56
421,2006,32
422,2006,20
423,2006,20
424,2006,50
425,2006,32
426,2006,30
427,2006,32
428,2006,42
429,2006,37
430,2006,40
431,2006,42
432,2006,42
433,2006,32
434,2006,32
435,2006,37
436,2006,42
437,2006,32
438,2006,50
439,2006,37
440,2006,58
441,2006,40
442,2006,26
443,2006,46
444,2006,23
445,2006,50
446,2006,46
447,2006,55
448,2006,40
449,2006,32
450,2006,32
451,2006,32
452,2006,42
453,2006,60
454,2006,42
455,2006,55
456,2006,50
457,2006,42
458,2006,32
459,2006,50
460,2005,40
461,2005,42
462,2005,32
463,2005,20
464,2005,65
465,2005,50
466,2005,56
467,2005,50
468,2005,56
469,2005,61
470,2005,73
471,2005,52
472,2005,62
473,2005,52
474,2005,71
475,2005,61
476,2005,56
477,2005,50
478,2005,62
479,2005,67
480,2005,60
481,2005,50
482,2005,37
483,2005,20
484,2005,37
485,2005,42
486,2005,42
487,2005,32
488,2005,52
489,2005,42
490,2005,42
491,2005,32
492,2005,26
493,2005,23
494,2005,19
495,2005,20
496,2005,42
497,2005,37
498,2005,61
499,2005,56
500,2005,61
501,2005,44
502,2005,42
503,2005,32
504,2005,26
505,2005,26
506,2005,70
507,2005,60
508,2005,55
509,2005,42
510,2005,42
511,2005,37
512,2005,32
513,2005,73
514,2005,62
515,2005,73
516,2005,62
517,2005,32
518,2005,37
519,2005,32
520,2005,55
521,2005,42
522,2005,55
523,2005,42
524,2005,42
525,2005,46
526,2005,40
527,2005,26
528,2005,32
529,2005,40
530,2005,32
531,2005,26
532,2005,26
533,2005,23
534,2005,20
535,2005,15
536,2005,20
537,2005,17
538,2005,15
539,2005,63
540,2005,50
541,2005,42
542,2005,50
543,2005,42
544,2005,42
545,2005,58
546,2005,50
547,2005,50
548,2005,42
549,2005,26
550,2005,37
551,2005,60
552,2005,55
553,2005,50
554,2005,60
555,2005,55
556,2005,50
557,2005,50
558,2005,32
559,2005,32
560,2005,50
561,2005,30
562,2005,32
563,2005,42
564,2005,42
565,2005,37
566,2005,50
567,2005,42
568,2005,52
569,2005,50
570,2005,37
571,2005,17
572,2005,30
573,2005,32
574,2005,52
575,2005,50
576,2005,62
577,2005,62
578,2005,52
579,2005,42
580,2005,50
581,2005,37
582,2005,27
583,2005,50
584,2005,46
585,2005,42
586,2005,61
587,2005,56
588,2005,30
589,2005,32
590,2005,32
591,2005,43
592,2005,43
593,2005,45
594,2005,52
595,2005,62
596,2005,62
597,2005,52
598,2005,32
599,2005,37
600,2005,65
601,2005,32
602,2005,42
603,2005,42
604,2005,42
605,2005,57
606,2005,42
607,2005,42
608,2005,42
609,2005,42
610,2005,42
611,2005,42
612,2005,42
613,2005,42
614,2004,50
615,2004,50
616,2004,46
617,2004,61
618,2004,56
619,2004,61
620,2004,42
621,2004,50
622,2004,46
623,2004,32
624,2004,1
625,2004,46
626,2004,62
627,2004,52
628,2004,46
629,2004,42
630,2004,55
631,2004,50
632,2004,32
633,2004,60
634,2004,55
635,2004,55
636,2004,60
637,2004,42
638,2004,62
639,2004,61
640,2004,52
641,2004,50
642,2004,21
643,2004,26
644,2004,23
645,2004,42
646,2004,42
647,2004,42
648,2004,52
649,2004,42
650,2004,52
651,2004,61
652,2004,42
653,2004,42
654,2004,34
655,2004,23
656,2004,70
657,2004,46
658,2004,50
659,2004,50
660,2004,50
661,2004,50
662,2004,50
663,2004,50
664,2004,42
665,2004,43
666,2004,50
667,2004,20
668,2004,56
669,2004,55
670,2004,26
671,2004,15
672,2004,30
673,2004,21
674,2004,42
675,2004,17
676,2004,60
677,2004,32
678,2004,17
679,2004,45
680,2004,45
681,2004,46
682,2004,50
683,2004,43
684,2004,30
685,2004,30
686,2004,30
687,2004,50
688,2004,42
689,2004,50
690,2004,26
691,2004,43
692,2004,23
693,2004,60
694,2004,32
695,2004,50
696,2004,56
697,2004,30
698,2003,30
699,2003,34
700,2003,42
701,2003,17
702,2003,17
703,2003,17
704,2003,17
705,2003,17
706,2003,17
707,2003,17
708,2003,26
709,2003,46
710,2003,22
711,2003,55
712,2003,51
713,2003,42
714,2003,42
715,2003,57
716,2003,46
717,2003,46
718,2003,42
719,2003,46
720,2003,46
721,2003,34
722,2003,42
723,2003,30
724,2003,20
725,2003,42
726,2003,51
727,2003,32
728,2003,36
729,2003,51
730,2003,55
731,2003,42
732,2003,34
733,2003,30
734,2003,42
735,2003,32
736,2003,46
737,2003,34
738,2003,27
739,2003,32
740,2003,32
741,2002,32
742,2002,60
743,2002,50
744,2002,24
745,2002,24
746,2002,24
747,2002,47
748,2002,40
749,2002,27
750,2002,27
751,2002,27
752,2002,27
753,2002,34
754,2002,36
755,2002,32
756,2002,34
757,2002,34
758,2002,30
759,2002,65
760,2002,42
761,2002,53
762,2001,50
763,2001,27
