,Name,G,MIN,PTS,FGM,FGA,FGP,FTM,FTA,FTP,3PM,3PA,3PP,ORB,DRB,TRB,AST,STL,BLK,TO,PF
41,Ray Allen ,79,36.3,18.2,6.3,13.2,0.48,3.0,3.2,0.9520000000000001,2.5,6.2,0.409,0.8,2.7,3.5,2.8,0.9,0.2,1.7,2.0
47,Chauncey Billups ,79,35.3,17.7,5.2,12.4,0.418,5.3,5.8,0.9129999999999999,2.1,5.0,0.408,0.4,2.6,3.0,6.4,1.2,0.2,2.2,2.0
44,Maurice Williams ,81,35.0,17.8,6.5,13.9,0.467,2.6,2.8,0.912,2.3,5.2,0.436,0.6,2.9,3.4,4.1,0.9,0.1,2.2,2.7
3,Dirk Nowitzki ,81,37.7,25.9,9.6,20.0,0.479,6.0,6.7,0.89,0.8,2.1,0.359,1.1,7.3,8.4,2.4,0.8,0.8,1.9,2.2
18,David West ,76,39.3,21.0,8.0,17.0,0.47200000000000003,4.8,5.5,0.884,0.1,0.3,0.24,2.1,6.4,8.5,2.3,0.6,0.9,2.1,2.7
30,Jason Terry ,74,33.6,19.6,7.3,15.8,0.46299999999999997,2.7,3.0,0.88,2.3,6.2,0.366,0.5,1.9,2.4,3.4,1.3,0.3,1.6,1.9
38,O.J. Mayo ,82,38.0,18.5,6.9,15.6,0.43799999999999994,3.0,3.4,0.879,1.8,4.6,0.384,0.7,3.1,3.8,3.2,1.1,0.2,2.8,2.5
4,Danny Granger ,67,36.2,25.8,8.5,19.1,0.447,6.0,6.9,0.878,2.7,6.7,0.40399999999999997,0.7,4.4,5.1,2.7,1.0,1.4,2.5,3.1
27,Jamal Crawford ,65,38.1,19.7,6.4,15.7,0.41,4.6,5.3,0.872,2.2,6.1,0.36,0.4,2.6,3.0,4.4,0.9,0.2,2.3,1.4
8,Chris Paul ,78,38.5,22.8,8.1,16.1,0.503,5.8,6.7,0.868,0.8,2.3,0.364,0.9,4.7,5.5,11.0,2.8,0.1,3.0,2.7
6,Kevin Martin ,51,38.2,24.6,6.7,15.9,0.42,9.0,10.3,0.867,2.3,5.4,0.415,0.6,3.0,3.6,2.7,1.2,0.2,2.9,2.3
28,Yao Ming ,77,33.6,19.7,7.4,13.4,0.5479999999999999,4.9,5.7,0.866,0.0,0.0,1.0,2.6,7.2,9.9,1.8,0.4,1.9,3.0,3.3
23,Ben Gordon ,82,36.6,20.7,7.3,16.0,0.455,4.0,4.7,0.8640000000000001,2.1,5.1,0.41,0.6,2.8,3.5,3.4,0.9,0.3,2.4,2.2
5,Kevin Durant ,74,39.0,25.3,8.9,18.8,0.47600000000000003,6.1,7.1,0.863,1.3,3.1,0.42200000000000004,1.0,5.5,6.5,2.8,1.3,0.7,3.0,1.8
20,Caron Butler ,67,38.6,20.8,7.3,16.2,0.45299999999999996,5.1,6.0,0.858,1.0,3.1,0.31,1.8,4.4,6.2,4.3,1.6,0.3,3.1,2.5
2,Kobe Bryant ,82,36.2,26.8,9.8,20.9,0.467,5.9,6.9,0.856,1.4,4.1,0.35100000000000003,1.1,4.1,5.2,4.9,1.5,0.5,2.6,2.3
31,Deron Williams ,68,36.9,19.4,6.8,14.5,0.47100000000000003,4.8,5.6,0.8490000000000001,1.0,3.3,0.31,0.4,2.5,2.9,10.7,1.1,0.3,3.4,2.0
40,Richard Hamilton ,67,34.0,18.3,7.0,15.6,0.447,3.3,3.9,0.848,1.0,2.8,0.368,0.7,2.4,3.1,4.4,0.6,0.1,2.0,2.6
49,Nate Robinson ,74,29.9,17.2,6.1,13.9,0.43700000000000006,3.4,4.0,0.841,1.7,5.2,0.325,1.3,2.6,3.9,4.1,1.3,0.1,1.9,2.8
46,Rashard Lewis ,79,36.2,17.7,6.1,13.8,0.439,2.8,3.4,0.836,2.8,7.0,0.397,1.2,4.6,5.7,2.6,1.0,0.6,2.0,2.5
14,Amare Stoudemire ,53,36.8,21.4,7.6,14.1,0.539,6.1,7.3,0.835,0.1,0.1,0.429,2.2,5.9,8.1,2.0,0.9,1.1,2.8,3.1
39,John Salmons ,79,37.5,18.3,6.5,13.8,0.47200000000000003,3.6,4.4,0.83,1.6,3.8,0.41700000000000004,0.7,3.5,4.2,3.2,1.1,0.3,2.1,2.3
33,Monta Ellis ,25,35.6,19.0,7.8,17.2,0.451,3.1,3.8,0.83,0.3,1.0,0.308,0.6,3.8,4.3,3.7,1.6,0.3,2.7,2.7
25,Paul Pierce ,81,37.4,20.5,6.7,14.6,0.457,5.7,6.8,0.83,1.5,3.8,0.391,0.7,5.0,5.6,3.6,1.0,0.3,2.8,2.7
22,Stephen Jackson ,59,39.7,20.7,7.0,16.9,0.414,5.0,6.0,0.826,1.7,5.2,0.33799999999999997,1.2,3.9,5.1,6.5,1.5,0.5,3.9,2.6
